MaxFitness,MeanFitness,StdDevFitness,MaxComplexity,MeanComplexity,StdDevComplexity,MeanSpeciesChampFitness,StdDevSpeciesChampFitness,MinSpeciesSize,MaxSpeciesSize,SpeciesCount,Generation
1.125,0.91282,0.101481809207365,34,31.8,1.05830052442584,1.01285,0.0785366315804288,1,15,10,51
1.125,0.91396,0.0994733552264122,34,31.66,1.0121264743104,1.032,0.0500644584510808,1,10,10,52
1.125,0.9244,0.0991847266467978,35,31.84,1.06508215645555,1.02325,0.0613332087861054,2,16,10,53
1.125,0.91429,0.100058937132072,35,31.92,1.14612390255155,0.98245,0.11825744162631,1,10,10,54
1.125,0.93006,0.0786624840695995,35,32.04,1.14821600755259,1.02415,0.0549477251576442,2,10,10,55
1.125,0.91834,0.10432259774373,35,32.18,1.16086174887452,1.0319,0.0553307328706208,2,10,10,56
1.125,0.91977,0.10690225488735,35,32.06,1.15602768132947,1.0203,0.0591794727925148,2,10,10,57
1.125,0.89671,0.111081685709211,35,32.14,1.14908659377786,1.0291,0.0511262163669482,2,10,10,58
1.125,0.91036,0.0908673230595025,34,32.28,1.14960862905599,1.0269,0.052547978077182,2,11,10,59
1.125,0.92022,0.0909235481049876,34,32.16,1.17234807118023,1.0238,0.0554748591706189,1,10,10,60
1.125,0.95481,0.0742994542375649,35,32.58,1.41548578233764,1.0285,0.0511698153211442,2,10,10,61
1.125,0.93815,0.0956663080713372,35,32.44,1.29861464645983,1.03445,0.0492252221935056,1,10,10,62
1.125,0.95473,0.0702435911667392,36,32.68,1.46205335059977,1.0309,0.0536072756256089,2,9,10,63
1.125,0.93769,0.0906535101361221,36,32.66,1.51802503273167,1.0316,0.0506955619359328,1,11,10,64
1.125,0.93868,0.085852650512375,37,33.18,1.90462594752881,1.03535,0.0495187085857456,1,10,10,65
1.125,0.93486,0.0908209799550742,36,32.72,1.6004999218994,1.0289,0.0530253712858288,2,11,10,66
1.125,0.93074,0.0930283956649796,37,33.1,1.9313207915828,1.0327,0.0504669198584577,2,10,10,67
1.125,0.95351,0.0774596985535059,37,32.7,1.84661853126194,1.0253,0.0527276967067593,2,10,10,68
1.125,0.91896,0.136856524871853,37,33.16,1.85860162487823,1.0185,0.0735578004021328,1,11,10,69
1.125,0.94409,0.0983230232448128,36,32.82,1.69339894885995,1.0145,0.0716760071432554,1,16,10,70
1.125,0.91713,0.0980986651285327,36,32.94,1.61752897964766,1.03975,0.0376724368736614,1,15,10,71
1.125,0.93704,0.0993486205238905,36,33.28,1.67379807623261,1.0274,0.0534568985258217,1,10,10,72
1.125,0.9084,0.106176127260322,36,33.2,1.66132477258362,1.0381,0.0376628464139396,2,10,10,73
1.125,0.92729,0.0915384121557721,36,33.38,1.68392398878334,1.03235,0.0503373867021322,1,9,10,74
1.125,0.92548,0.105554391666098,36,33.18,1.64547865376613,1.03305,0.0477102976305954,1,10,10,75
1.125,0.94972,0.0901128270558637,37,33.7,1.9824227601599,1.03955,0.0403270690727704,2,11,10,76
1.125,0.92479,0.103086230409303,36,33.22,1.71219157806596,1.02,0.0659738584592412,1,10,10,77
1.125,0.94215,0.0973321760775952,36,34.06,1.72522462305637,1.0268,0.0601673499499521,1,11,10,78
1.125,0.91244,0.0884546007848094,36,33.14,1.83313938368036,1.00965,0.0504534686617283,1,16,10,79
1.125,0.95691,0.0743244031257567,37,34.02,1.70282118849866,1.01225,0.052239472623678,1,11,10,80
1.125,0.94993,0.0758880102519496,36,33.22,1.97271386673283,1.02375,0.0525943200355324,1,10,10,81
1.125,0.95915,0.0738734221489705,37,33.92,1.68333003300007,1.03285,0.051063710205977,1,10,10,82
1.125,0.96044,0.0794141448357911,37,34.06,1.72522462305637,1.03885,0.0468935230069143,5,5,10,83
1.125,0.94465,0.0749904827294771,37,34.22,1.79209374754782,1.04285,0.041330406482395,4,6,10,84
1.125,0.9552,0.0721151163071932,37,34.26,1.76419953520003,1.0436,0.0412400290979529,4,6,10,85
1.125,0.95813,0.0819547320171325,37,34.36,1.74080441175912,1.04025,0.0557257794920807,1,10,10,86
1.125,0.95201,0.088214992489939,37,34.08,1.78706463229509,1.03895,0.0598959305796312,1,9,10,87
1.125,0.97255,0.0689122811986369,37,34.62,1.85353715905563,1.05435,0.0333541976368792,4,6,10,88
1.125,0.94437,0.105890169987587,37,34.66,1.80676506497109,1.05435,0.0333541976368792,5,5,10,89
1.125,0.9489,0.0960516527707879,37,34.64,1.8629009635512,1.05515,0.03295,4,6,10,90
1.125,0.96039,0.0753959077138806,37,34.44,1.81284307097995,1.05805,0.0328971503325136,4,6,10,91
1.125,0.94778,0.0849106094666621,37,34.6,1.85472369909914,1.05805,0.0328971503325136,4,6,10,92
1.125,0.94163,0.0936605471903725,37,34.62,1.8962067397834,1.05105,0.0398361958525158,5,5,10,93
1.125,0.95989,0.0997388735649245,37,34.48,1.82471915647313,1.054,0.0355907291299293,4,6,10,94
1.125,0.95508,0.0801075127562952,37,34.8,1.56204993518133,1.04765,0.0377591379668551,1,9,10,95
1.125,0.95383,0.0800819961039933,37,34.66,1.63229899221926,1.04875,0.0384696308794353,1,10,10,96
