MaxFitness,MeanFitness,StdDevFitness,MaxComplexity,MeanComplexity,StdDevComplexity,MeanSpeciesChampFitness,StdDevSpeciesChampFitness,MinSpeciesSize,MaxSpeciesSize,SpeciesCount,Generation
1.379,1.09674,0.096042659,624,620.34,2.159722204,1.2184,0.065353194,1,14,10,109
1.379,1.08732,0.119323877,624,621.92,1.988366163,1.18635,0.128555251,1,25,10,110
1.379,1.08987,0.110685311,624,621.02,2.073547685,1.2556,0.059217734,1,16,10,111
1.379,1.09026,0.11910849,625,622.2,2.154065923,1.23825,0.075900675,1,16,10,112
1.379,1.07077,0.130524029,625,621.66,2.065042372,1.23035,0.090340758,1,15,10,113
1.379,1.07887,0.122074478,625,622.52,2.351510153,1.22105,0.107244219,1,15,10,114
1.379,1.04047,0.129906097,625,621.52,2.146997904,1.21515,0.079038614,2,15,10,115
1.379,1.08371,0.121504695,626,622.76,2.074222746,1.1867,0.109517396,1,16,10,116
1.379,1.0952,0.101849644,624,621.7,2.080865205,1.22155,0.081533567,4,6,10,117
1.379,1.05177,0.118163074,625,621.84,2.081922189,1.22155,0.081533567,5,5,10,118
1.379,1.06835,0.129983047,625,621.76,2.168501787,1.1984,0.126286737,1,8,10,119
1.379,1.06846,0.135376506,625,621.7,2.165640783,1.2192,0.084851989,4,6,10,120
1.379,1.06481,0.135612938,625,621.78,2.211696182,1.22615,0.077540006,4,6,10,121
1.379,1.07025,0.146358404,625,621.84,2.148115453,1.2328,0.077477158,1,9,10,122
1.379,1.0712,0.127397763,625,622.34,2.371581751,1.2263,0.098011785,1,12,10,123
1.379,1.0737,0.134177494,625,621.88,2.312055363,1.2386,0.0749002,1,10,10,124
1.379,1.08668,0.110319298,625,622.12,2.205810509,1.23995,0.073692418,2,10,10,125
1.379,1.05025,0.140210921,625,621.88,2.187601426,1.2349,0.074616955,2,10,10,126
1.379,1.07647,0.119328513,625,622.12,2.169239498,1.22595,0.101394637,1,11,10,127
1.379,1.09591,0.105661757,625,621.86,2.358050042,1.2337,0.075269914,1,14,10,128
1.379,1.09677,0.10748866,625,622.38,2.43220065,1.2528,0.068647724,1,15,10,129
1.379,1.06977,0.122319263,625,622.26,2.243301139,1.2351,0.070524038,1,16,10,130
1.379,1.05013,0.133400255,625,621.72,2.749836359,1.20895,0.101054057,1,15,10,131
1.379,1.07447,0.116116898,625,621.82,2.141868343,1.20255,0.098567857,1,20,10,132
1.379,1.07305,0.098058975,626,621.64,2.791128804,1.1995,0.07833422,1,15,10,133
1.379,1.07052,0.104061759,628,621.94,2.477175811,1.19805,0.080738296,1,22,10,134
1.379,1.08303,0.100207854,626,621.48,3.163795189,1.20655,0.078369143,1,15,10,135
1.379,1.06194,0.134052252,625,622.04,2.235710178,1.221,0.065828185,1,20,10,136
1.379,1.09616,0.11559046,625,621.68,3.029455397,1.23665,0.061109758,1,16,10,137
1.379,1.07936,0.121248754,625,622.22,2.5790696,1.23595,0.061144276,1,22,10,138
1.379,1.09235,0.103424187,626,621.48,3.238765197,1.2337,0.063031817,1,14,10,139
1.379,1.08545,0.121601244,626,621.86,3.091989651,1.24325,0.059879149,1,21,10,140
1.379,1.07567,0.112874869,626,622.26,3.242283146,1.21185,0.095050526,1,16,10,141
1.379,1.07841,0.107431033,626,622.44,2.772435752,1.2143,0.098749228,1,10,10,142
1.379,1.08862,0.131625969,627,622.56,3.353565267,1.2271,0.094319351,2,10,10,143
1.379,1.08157,0.13043186,628,622.72,3.137132449,1.2505,0.074025334,1,20,10,144
1.379,1.0845,0.11678249,627,622.6,3.773592453,1.23645,0.080679753,1,11,10,145
1.379,1.06423,0.136204009,627,622.8,2.966479395,1.2348,0.075952353,1,11,10,146
1.379,1.08272,0.120212568,628,623.28,3.616849458,1.21745,0.094825221,1,21,10,147
1.379,1.08348,0.124847826,628,622.78,2.961688707,1.24705,0.065036701,1,26,10,148
1.379,1.08236,0.128987249,629,623.78,3.848584155,1.2454,0.069875174,1,22,10,149
1.379,1.08283,0.121394341,628,622.48,3.226391173,1.19575,0.089930598,1,19,10,150
1.379,1.08191,0.122967666,629,624.62,3.520738559,1.23455,0.068298408,1,16,10,151
1.379,1.1111,0.09524059,629,622.8,3.237282811,1.1843,0.097729525,1,22,10,152
1.379,1.08086,0.11999596,629,625.26,3.205058502,1.2379,0.05658392,1,21,10,153
1.379,1.08757,0.092925508,629,623.78,3.08084404,1.16655,0.098223839,1,31,10,154
1.379,1.07447,0.101428813,630,626.1,2.787471973,1.20155,0.071021986,1,15,10,155
1.379,1.07934,0.120293534,630,624.42,3.143819333,1.17295,0.122623907,1,31,10,156
1.379,1.07081,0.115439113,629,626.24,2.596613179,1.23105,0.062126665,1,15,10,157
1.379,1.07784,0.10357748,629,624.16,3.318794962,1.2084,0.077108625,1,21,10,158
1.379,1.03649,0.11830412,630,625.28,3.589094593,1.1771,0.093323845,1,30,10,159
1.379,1.10181,0.10478382,628,622.58,3.476147293,1.17455,0.087313358,1,26,10,160
1.379,1.09875,0.101368647,629,623.4,4.409081537,1.2146,0.061968056,1,15,10,161
1.379,1.08142,0.108611756,629,623.22,3.29417668,1.1755,0.107892771,1,26,10,162
1.379,1.0664,0.104297459,629,623.64,4.37154435,1.19555,0.070718968,1,26,10,163
1.379,1.0712,0.106212146,627,622.2,2.986636905,1.16115,0.115896732,1,26,10,164
1.379,1.04885,0.117054528,628,622.62,3.923722722,1.18185,0.070403143,1,11,10,165
1.379,1.08635,0.100646821,627,622.76,3.209735192,1.1984,0.07617539,1,11,10,166
1.379,1.08859,0.09746962,628,623.76,3.467333269,1.2018,0.084461885,1,26,10,167
1.379,1.08604,0.118731329,627,622.24,3.197248817,1.2263,0.065276795,1,14,10,168
1.379,1.10752,0.104997522,628,623.84,3.668023991,1.2269,0.075210638,1,16,10,169
1.379,1.08718,0.110806848,629,622.98,3.343590884,1.24375,0.057490108,1,16,10,170
1.379,1.07338,0.1133415,629,624,3.714835124,1.23125,0.061792495,1,25,10,171
1.379,1.10938,0.104270205,629,623.06,3.048999836,1.22525,0.064690127,1,15,10,172
1.379,1.06752,0.132858608,629,624.82,3.326800265,1.22745,0.061702694,1,21,10,173
1.379,1.08335,0.094858698,629,623.68,2.831536685,1.2153,0.073598641,1,14,10,174
1.379,1.0694,0.104195633,630,624.62,3.571498285,1.20605,0.075997845,1,15,10,175
1.379,1.09205,0.107164278,632,623.9,2.941088234,1.1883,0.089015223,1,14,10,176
1.379,1.08378,0.100959307,630,624.7,3.453983208,1.19765,0.077915996,1,10,10,177
1.379,1.09181,0.110292379,629,624.14,3.05947708,1.195,0.093810181,1,15,10,178
1.379,1.06834,0.118793663,630,624.82,3.702377614,1.2072,0.074939709,1,10,10,179
1.379,1.08219,0.10513895,629,624.3,3.318132005,1.1895,0.084153431,1,11,10,180
1.379,1.10097,0.09713642,630,625.16,3.668023991,1.20575,0.088960455,1,20,10,181
1.379,1.09893,0.094719798,629,623.42,3.736790066,1.2223,0.061006229,1,11,10,182
1.379,1.08579,0.104218621,629,625.24,3.367847978,1.2049,0.092037166,1,20,10,183
1.379,1.06758,0.124650686,629,624,3.052867504,1.2198,0.060904515,1,14,10,184
1.3825,1.07828,0.116566426,629,625.18,3.513915195,1.23625,0.076296543,1,14,10,185
1.3825,1.078,0.120358548,629,624.68,3.126915413,1.2283,0.084415401,1,11,10,186
1.3825,1.08659,0.116914101,629,625.26,3.565445274,1.24075,0.082955786,1,17,10,187
1.3825,1.08369,0.108275477,629,624.74,3.291261156,1.2337,0.088233554,1,21,10,188
1.3825,1.09273,0.103098749,630,625.54,3.737432274,1.2319,0.094383473,1,10,10,189
1.3825,1.055,0.139805615,630,625.1,3.522782991,1.2276,0.091699182,2,16,10,190
1.3825,1.07532,0.123002145,630,625.86,3.588927416,1.2362,0.092089685,1,20,10,191
1.3825,1.08104,0.123291883,629,624.86,3.218757524,1.2335,0.081956696,1,16,10,192
1.3825,1.08613,0.105048218,629,625.18,3.814131618,1.2314,0.0814622,1,21,10,193
1.3825,1.09222,0.112605291,629,624.64,3.116151473,1.22045,0.088434001,1,16,10,194
1.3825,1.07165,0.118768651,629,625.24,3.855178336,1.19065,0.112302059,1,26,10,195
1.3825,1.07651,0.116138774,629,624.46,3.086810652,1.2315,0.085695099,1,14,10,196
1.3825,1.09614,0.113307901,630,625.74,3.654093595,1.22365,0.087387084,1,21,10,197
1.3825,1.08985,0.107374124,628,624.84,3.195997497,1.221,0.106417339,1,11,10,198
1.3825,1.08217,0.114880617,629,625.3,3.511409973,1.23415,0.082522739,1,15,10,199
1.3825,1.0843,0.122463586,629,624.96,3.149349139,1.23495,0.081412054,1,10,10,200
1.3825,1.10849,0.110159951,630,625.46,3.556458913,1.23575,0.100904224,1,20,10,201
1.3825,1.07279,0.130997332,629,624.66,2.984024129,1.2438,0.071701534,1,15,10,202
1.3825,1.09375,0.125604031,629,625.68,3.591322876,1.23765,0.088192701,1,21,10,203
1.3825,1.09733,0.106810468,629,625,3.174901573,1.2513,0.079720198,1,15,10,204
